,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
349,War Horse,BV,97700000.0,2011.0,12.0,"Dec 25, 2011",War Horse,70000000.0,79883359.0,156815529.0,1.141190842857143,1.3957142857142857,2.2402218428571428
350,The Descendants,FoxS,94700000.0,2011.0,5.0,"Nov 16, 2011",The Descendants,20000000.0,82624961.0,175507800.0,4.13124805,4.735,8.77539
352,In Time,Fox,136400000.0,2011.0,74.0,"Oct 28, 2011",In Time,35000000.0,37553932.0,165103952.0,1.0729694857142857,3.8971428571428572,4.717255771428571
353,Zookeeper,Sony,89500000.0,2011.0,71.0,"Jul 8, 2011",Zookeeper,80000000.0,80360866.0,170805525.0,1.004510825,1.11875,2.1350690625
354,The Muppets,BV,76600000.0,2011.0,64.0,"Nov 23, 2011",The Muppets,45000000.0,88625922.0,160971922.0,1.9694649333333334,1.7022222222222223,3.5771538222222223
355,Limitless,Rela.,82600000.0,2011.0,91.0,"Mar 18, 2011",Limitless,27000000.0,79249455.0,155564919.0,2.935165,3.0592592592592593,5.761663666666666
356,Johnny English Reborn,Uni.,151800000.0,2011.0,19.0,"Oct 21, 2011",Johnny English Reborn,45000000.0,8406711.0,164640401.0,0.1868158,3.3733333333333335,3.6586755777777777
357,Final Destination 5,WB (NL),115300000.0,2011.0,49.0,"Aug 12, 2011",Final Destination 5,40000000.0,42587643.0,155011165.0,1.064691075,2.8825,3.875279125
358,Tower Heist,Uni.,74900000.0,2011.0,5.0,"Nov 4, 2011",Tower Heist,85000000.0,78046570.0,150422946.0,0.9181949411764706,0.8811764705882353,1.7696817176470587
359,Midnight in Paris,SPC,94300000.0,2011.0,83.0,"May 20, 2011",Midnight in Paris,30000000.0,56816662.0,162502774.0,1.8938887333333334,3.1433333333333335,5.416759133333334
360,Happy Feet Two,WB,86400000.0,2011.0,33.0,"Nov 18, 2011",Happy Feet Two,135000000.0,64006466.0,157956466.0,0.47412197037037035,0.64,1.1700478962962964
362,Jack and Jill,Sony,75500000.0,2011.0,11.0,"Nov 11, 2011",Jack and Jill,79000000.0,74158157.0,150519217.0,0.9387108481012658,0.9556962025316456,1.9053065443037975
363,Friends with Benefits,SGem,93700000.0,2011.0,55.0,"Jul 22, 2011",Friends with Benefits,35000000.0,55802754.0,146595891.0,1.5943644,2.677142857142857,4.188454028571429
364,No Strings Attached,Par.,78600000.0,2011.0,84.0,"Jan 21, 2011",No Strings Attached,25000000.0,70662220.0,149228078.0,2.8264888,3.144,5.96912312
365,Arthur Christmas,Sony,101000000.0,2011.0,14.0,"Nov 23, 2011",Arthur Christmas,85000000.0,46462469.0,149717124.0,0.5466172823529412,1.188235294117647,1.7613779294117646
366,Source Code,Sum.,92600000.0,2011.0,96.0,"Apr 1, 2011",Source Code,32000000.0,54712227.0,140428499.0,1.70975709375,2.89375,4.38839059375
369,Contagion,WB,59800000.0,2011.0,71.0,"Sep 9, 2011",Contagion,60000000.0,75658097.0,137551594.0,1.2609682833333333,0.9966666666666667,2.2925265666666665
370,The Artist,Wein.,88800000.0,2011.0,34.0,"Nov 25, 2011",The Artist,16000000.0,44667095.0,128256712.0,2.7916934375,5.55,8.0160445
372,Unknown,WB,67099999.0,2011.0,21.0,"Feb 18, 2011",Unknown,40000000.0,63686397.0,136123083.0,1.592159925,1.677499975,3.403077075
373,Unknown,WB,67099999.0,2011.0,84.0,"Nov 3, 2006",Unknown,3700000.0,26403.0,3355048.0,0.007135945945945946,18.135134864864863,0.9067697297297297
374,The Adjustment Bureau,Uni.,65400000.0,2011.0,81.0,"Mar 4, 2011",The Adjustment Bureau,50200000.0,62495645.0,126931325.0,1.2449331673306774,1.302788844621514,2.5285124501992033
375,We Bought a Zoo,Fox,44500000.0,2011.0,14.0,"Dec 23, 2011",We Bought a Zoo,50000000.0,75624550.0,118729073.0,1.512491,0.89,2.37458146
376,Water for Elephants,Fox,58400000.0,2011.0,63.0,"Apr 22, 2011",Water for Elephants,38000000.0,58709717.0,116809717.0,1.5449925526315789,1.5368421052631578,3.0739399210526317
377,The Iron Lady,Wein.,84900000.0,2011.0,90.0,"Jan 13, 2012",The Iron Lady,14000000.0,29959436.0,115592104.0,2.1399597142857143,6.064285714285714,8.256578857142857
378,Moneyball,Sony,34600000.0,2011.0,15.0,"Sep 23, 2011",Moneyball,50000000.0,75605492.0,111300835.0,1.51210984,0.692,2.2260167
379,Sanctum,Uni.,85400000.0,2011.0,45.0,"Feb 4, 2011",Sanctum,30000000.0,23209310.0,108957098.0,0.7736436666666666,2.8466666666666667,3.631903266666667
380,Justin Bieber: Never Say Never,Par.,26000000.0,2011.0,48.0,"Feb 11, 2011",Justin Bieber: Never Say Never,13000000.0,73013910.0,99034125.0,5.616454615384615,2.0,7.618009615384615
