,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
30,,Drama,Genius,4300000.0,Genius,17000000.0,1361045.0,7265283.0,0.08006147058823529,0.2529411764705882,0.42736958823529414
32,105.0,Adventure,Letters to Juliet,26100000.0,Letters to Juliet,30000000.0,53032453.0,82148538.0,1.7677484333333333,0.87,2.7382846
32,105.0,Comedy,Letters to Juliet,26100000.0,Letters to Juliet,30000000.0,53032453.0,82148538.0,1.7677484333333333,0.87,2.7382846
32,105.0,Drama,Letters to Juliet,26100000.0,Letters to Juliet,30000000.0,53032453.0,82148538.0,1.7677484333333333,0.87,2.7382846
36,,Action,Collide,2500000.0,Collide,29200000.0,2280004.0,5466698.0,0.07808232876712329,0.08561643835616438,0.18721568493150684
37,99.0,Action,Collide,2500000.0,Collide,29200000.0,2280004.0,5466698.0,0.07808232876712329,0.08561643835616438,0.18721568493150684
37,99.0,Crime,Collide,2500000.0,Collide,29200000.0,2280004.0,5466698.0,0.07808232876712329,0.08561643835616438,0.18721568493150684
37,99.0,Thriller,Collide,2500000.0,Collide,29200000.0,2280004.0,5466698.0,0.07808232876712329,0.08561643835616438,0.18721568493150684
38,106.0,Comedy,A Little Bit of Heaven,1300000.0,A Little Bit of Heaven,12500000.0,10011.0,1100287.0,0.00080088,0.104,0.08802296
38,106.0,Drama,A Little Bit of Heaven,1300000.0,A Little Bit of Heaven,12500000.0,10011.0,1100287.0,0.00080088,0.104,0.08802296
38,106.0,Fantasy,A Little Bit of Heaven,1300000.0,A Little Bit of Heaven,12500000.0,10011.0,1100287.0,0.00080088,0.104,0.08802296
40,105.0,Action,The Commuter,83600000.0,The Commuter,40000000.0,36343858.0,101985431.0,0.90859645,2.09,2.549635775
40,105.0,Mystery,The Commuter,83600000.0,The Commuter,40000000.0,36343858.0,101985431.0,0.90859645,2.09,2.549635775
40,105.0,Thriller,The Commuter,83600000.0,The Commuter,40000000.0,36343858.0,101985431.0,0.90859645,2.09,2.549635775
41,117.0,Action,The Grey,25700000.0,The Grey,25000000.0,51580136.0,81249176.0,2.06320544,1.028,3.24996704
41,117.0,Adventure,The Grey,25700000.0,The Grey,25000000.0,51580136.0,81249176.0,2.06320544,1.028,3.24996704
41,117.0,Drama,The Grey,25700000.0,The Grey,25000000.0,51580136.0,81249176.0,2.06320544,1.028,3.24996704
48,83.0,Comedy,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
48,83.0,Drama,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
49,86.0,Drama,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
49,86.0,Mystery,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
49,86.0,Thriller,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
50,96.0,Action,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
50,96.0,Adventure,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
50,96.0,Crime,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
51,62.0,Documentary,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
51,62.0,History,Nerve,46700000.0,Nerve,20000000.0,38583626.0,70652284.0,1.9291813,2.335,3.5326142
55,110.0,Action,The Bounty Hunter,69300000.0,The Bounty Hunter,45000000.0,67061228.0,135808837.0,1.4902495111111111,1.54,3.0179741555555557
