,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
5422,,,,,90.0,"Mar 1, 2013",The Last Exorcism Part II,4000000.0,15179303.0,25448707.0,3.79482575,,6.36217675
5423,,,,,91.0,"Dec 17, 1974",The Front Page,4000000.0,15000000.0,15000000.0,3.75,,3.75
5424,,,,,92.0,"May 30, 1956",Trapeze,4000000.0,14400000.0,14400000.0,3.6,,3.6
5425,,,,,93.0,"Aug 16, 1985",The Return of the Living Dead,4000000.0,14237880.0,14237880.0,3.55947,,3.55947
5426,,,,,94.0,"Nov 4, 1988",They Live,4000000.0,13000000.0,13000774.0,3.25,,3.2501935
5427,,,,,95.0,"Aug 4, 2000",Saving Grace,4000000.0,12178602.0,27786849.0,3.0446505,,6.94671225
5428,,,,,96.0,"Aug 8, 1963",The Great Escape,4000000.0,11744471.0,11972561.0,2.93611775,,2.99314025
5429,,,,,97.0,"Feb 6, 2004",What the #$'! Do We Know,4000000.0,10941801.0,10941801.0,2.73545025,,2.73545025
5430,,,,,98.0,"May 13, 2016",The Darkness,4000000.0,10753574.0,10898293.0,2.6883935,,2.72457325
5431,,,,,99.0,"Jul 28, 2006",Scoop,4000000.0,10525717.0,40103262.0,2.63142925,,10.0258155
5432,,,,,100.0,"Nov 14, 2001",The Wash,4000000.0,10097096.0,10097096.0,2.524274,,2.524274
5433,,,,,1.0,"Mar 1, 2000",3 Strikes,4000000.0,9821335.0,9821335.0,2.45533375,,2.45533375
5434,,,,,2.0,"Apr 11, 2008",The Visitor,4000000.0,9427026.0,19174817.0,2.3567565,,4.79370425
5435,,,,,3.0,"Nov 26, 2003",The Cooler,4000000.0,8291572.0,11131455.0,2.072893,,2.78286375
5436,,,,,4.0,"Feb 1, 1961",The Misfits,4000000.0,8200000.0,8200000.0,2.05,,2.05
5437,,,,,5.0,"Aug 4, 2006",The Night Listener,4000000.0,7836393.0,10770993.0,1.95909825,,2.69274825
5438,,,,,6.0,"Feb 3, 1995",The Jerky Boys,4000000.0,7555256.0,7555256.0,1.888814,,1.888814
5439,,,,,7.0,"Dec 28, 2007",El orfanato,4000000.0,7159147.0,79250193.0,1.78978675,,19.81254825
5440,,,,,8.0,"May 25, 2007",Bug,4000000.0,7006708.0,8302995.0,1.751677,,2.07574875
5441,,,,,9.0,"Oct 11, 2002",The Rules of Attraction,4000000.0,6525762.0,11799060.0,1.6314405,,2.949765
5442,,,,,10.0,"Dec 19, 1969",Topaz,4000000.0,6000000.0,6000000.0,1.5,,1.5
5443,,,,,11.0,"Nov 17, 2006",Let's Go to Prison,4000000.0,4630045.0,4630045.0,1.15751125,,1.15751125
5444,,,,,12.0,"Dec 25, 1995",Four Rooms,4000000.0,4301000.0,4301000.0,1.07525,,1.07525
5445,,,,,13.0,"Sep 20, 2002",Secretary,4000000.0,4046737.0,9413956.0,1.01168425,,2.353489
5446,,,,,14.0,"Apr 25, 2003",The Real Cancun,4000000.0,3816594.0,3816594.0,0.9541485,,0.9541485
5447,,,,,15.0,"Dec 1, 1988",Talk Radio,4000000.0,3468572.0,3468572.0,0.867143,,0.867143
5448,,,,,16.0,"Jan 31, 1997",Waiting for Guffman,4000000.0,2922988.0,2922988.0,0.730747,,0.730747
5449,,,,,17.0,"Sep 10, 1999",Love Stinks,4000000.0,2793776.0,2793776.0,0.698444,,0.698444
5450,,,,,18.0,"Aug 24, 2012",Samsara,4000000.0,2672413.0,5966671.0,0.66810325,,1.49166775
5451,,,,,19.0,"Jun 22, 2007",You Kill Me,4000000.0,2426851.0,3858964.0,0.60671275,,0.964741
5452,,,,,20.0,"Jun 17, 2011",The Art of Getting By,4000000.0,1430241.0,1989035.0,0.35756025,,0.49725875
5453,,,,,21.0,"Sep 16, 2005",Thumbsucker,4000000.0,1328679.0,1919197.0,0.33216975,,0.47979925
5454,,,,,22.0,"Sep 23, 2011",Red State,4000000.0,1065429.0,1983596.0,0.26635725,,0.495899
5455,,,,,23.0,"Sep 30, 2005",MirrorMask,4000000.0,864959.0,973613.0,0.21623975,,0.24340325
5456,,,,,24.0,"Mar 31, 1987",The Barbarians,4000000.0,800000.0,800000.0,0.2,,0.2
5457,,,,,25.0,"Oct 17, 2012",Holy Motors,4000000.0,641054.0,4230426.0,0.1602635,,1.0576065
5458,,,,,26.0,"Jun 13, 2014",The Signal,4000000.0,600896.0,2665322.0,0.150224,,0.6663305
5459,,,,,19.0,"Feb 22, 2008",The Signal,50000.0,251150.0,406299.0,5.023,,8.12598
5460,,,,,27.0,"Feb 28, 2003",Poolhall Junkies,4000000.0,563711.0,563711.0,0.14092775,,0.14092775
5461,,,,,28.0,"May 28, 1999",The Loss of Sexual Innocence,4000000.0,399793.0,399793.0,0.09994825,,0.09994825
5462,,,,,29.0,"Mar 7, 2014",The Face of Love,4000000.0,385069.0,1158877.0,0.09626725,,0.28971925
5463,,,,,30.0,"Apr 11, 2014",Joe,4000000.0,373375.0,373375.0,0.09334375,,0.09334375
5464,,,,,31.0,"Mar 4, 1988",Prison,4000000.0,354704.0,354704.0,0.088676,,0.088676
5465,,,,,32.0,"May 1, 1998",Shooting Fish,4000000.0,302204.0,302204.0,0.075551,,0.075551
5466,,,,,33.0,"May 8, 2009",Adoration,4000000.0,294244.0,384244.0,0.073561,,0.096061
5467,,,,,34.0,"Aug 4, 2000",Psycho Beach Party,4000000.0,267972.0,267972.0,0.066993,,0.066993
5468,,,,,35.0,"Jun 7, 2019",Late Night,4000000.0,246305.0,246305.0,0.06157625,,0.06157625
5469,,,,,36.0,"Jan 28, 2000",The Big Tease,4000000.0,185577.0,185577.0,0.04639425,,0.04639425
5470,,,,,37.0,"Aug 25, 2017",Polina danser sa vie,4000000.0,165203.0,953314.0,0.04130075,,0.2383285
5471,,,,,38.0,"Apr 10, 2015",Desert Dancer,4000000.0,155271.0,596335.0,0.03881775,,0.14908375
5472,,,,,39.0,"Jan 30, 2015","Guten Tag, Ramon",4000000.0,154356.0,4854356.0,0.038589,,1.213589
5473,,,,,40.0,"Jul 25, 2003",Mondays in the Sun,4000000.0,146402.0,146402.0,0.0366005,,0.0366005
5474,,,,,41.0,"Jun 19, 2015",Manglehorn,4000000.0,132270.0,797439.0,0.0330675,,0.19935975
5475,,,,,42.0,"Apr 2, 2010",Tau ming chong,4000000.0,129078.0,38899792.0,0.0322695,,9.724948
5476,,,,,43.0,"Apr 1, 2011",Trust,4000000.0,120016.0,120016.0,0.030004,,0.030004
5477,,,,,44.0,"Dec 22, 2000",An Everlasting Piece,4000000.0,75078.0,75078.0,0.0187695,,0.0187695
5478,,,,,45.0,"Mar 26, 1999",Among Giants,4000000.0,64359.0,64359.0,0.01608975,,0.01608975
5479,,,,,46.0,"Jul 16, 1999",The Velocity of Gary,4000000.0,34145.0,34145.0,0.00853625,,0.00853625
5480,,,,,47.0,"Apr 22, 2011",Stake Land,4000000.0,33245.0,679482.0,0.00831125,,0.1698705
5481,,,,,48.0,"Feb 27, 2015",Praia do Futuro,4000000.0,20620.0,760678.0,0.005155,,0.1901695
5482,,,,,49.0,"Dec 27, 2002",Sonny,4000000.0,17639.0,17639.0,0.00440975,,0.00440975
5483,,,,,50.0,"Jun 20, 1997",The Last Time I Committed Suicide,4000000.0,12836.0,12836.0,0.003209,,0.003209
5484,,,,,51.0,"Apr 18, 2014",13 Sins,4000000.0,9134.0,47552.0,0.0022835,,0.011888
5485,,,,,53.0,"Feb 22, 2013",Inescapable,4000000.0,4327.0,4327.0,0.00108175,,0.00108175
5486,,,,,54.0,"Dec 31, 2017",Perfectos Desconocidos,4000000.0,0.0,31166312.0,0.0,,7.791578
5487,,,,,55.0,"Dec 31, 2013",Geograf globus propil,4000000.0,0.0,4454853.0,0.0,,1.11371325
5488,,,,,56.0,"Mar 20, 2012",A Lonely Place to Die,4000000.0,0.0,442550.0,0.0,,0.1106375
5489,,,,,57.0,"Dec 31, 2003",Nothing,4000000.0,0.0,63180.0,0.0,,0.015795
5490,,,,,58.0,"Jun 1, 2012",The Loved Ones,4000000.0,0.0,12302.0,0.0,,0.0030755
5491,,,,,68.0,"Dec 15, 1939",Gone with the Wind,3900000.0,198680470.0,390525192.0,50.943710256410256,,100.13466461538462
5492,,,,,69.0,"Dec 12, 1966",A Man for All Seasons,3900000.0,28350000.0,28350000.0,7.269230769230769,,7.269230769230769
5493,,,,,70.0,"Dec 30, 1925",Ben-Hur: A Tale of the Christ,3900000.0,9000000.0,9000000.0,2.3076923076923075,,2.3076923076923075
5494,,,,,71.0,"Jan 1, 1976",Network,3800000.0,23689877.0,23689877.0,6.234178157894737,,6.234178157894737
5495,,,,,72.0,"Jan 14, 2011",Down for Life,3800000.0,41914.0,41914.0,0.01103,,0.01103
5496,,,,,74.0,"Apr 7, 1965",Major Dundee,3800000.0,14873.0,14873.0,0.003913947368421052,,0.003913947368421052
5497,,,,,75.0,"Oct 5, 2018",Hevi reissu,3800000.0,10153.0,10153.0,0.002671842105263158,,0.002671842105263158
5498,,,,,77.0,"May 17, 1950",Annie Get Your Gun,3768785.0,8000000.0,8000000.0,2.122700021359669,,2.122700021359669
5499,,,,,78.0,"Aug 11, 2006",Casa de Areia,3750000.0,539285.0,1178175.0,0.14380933333333334,,0.31418
5500,,,,,80.0,"Feb 19, 2010",Defendor,3750000.0,44462.0,44462.0,0.011856533333333334,,0.011856533333333334
5501,,,,,81.0,"May 13, 1970",The Ballad of Cable Hogue,3716946.0,3500000.0,5000000.0,0.9416332655895459,,1.3451903794136368
5502,,,,,82.0,"May 20, 1948",The Pirate,3700000.0,2956000.0,2956000.0,0.798918918918919,,0.798918918918919
5503,,,,,83.0,"Nov 21, 2006",The History Boys,3700000.0,2730296.0,13447998.0,0.7379178378378378,,3.634594054054054
5504,,,,,85.0,"May 25, 1969",Midnight Cowboy,3600000.0,44785053.0,44785053.0,12.4402925,,12.4402925
5505,,,,,86.0,"Oct 10, 2008",Billy: The Early Years of Billy Graham,3600000.0,320896.0,320896.0,0.08913777777777777,,0.08913777777777777
5506,,,,,87.0,"Dec 31, 2017",UtÃ¸ya 22. juli,3600000.0,0.0,173156.0,0.0,,0.048098888888888885
5507,,,,,88.0,"Jul 4, 1980",Airplane!,3500000.0,83453539.0,83453539.0,23.843868285714287,,23.843868285714287
5508,,,,,89.0,"Jan 1, 1970",M*A*S*H,3500000.0,81600000.0,81600000.0,23.314285714285713,,23.314285714285713
5509,,,,,90.0,"Aug 13, 1997",The Full Monty,3500000.0,45950122.0,261249383.0,13.128606285714286,,74.64268085714286
5510,,,,,92.0,"May 26, 1993",Menace II Society,3500000.0,27731527.0,27731527.0,7.923293428571428,,7.923293428571428
5511,,,,,93.0,"Apr 26, 1995",Friday,3500000.0,27467564.0,27936778.0,7.847875428571428,,7.981936571428571
5512,,,,,95.0,"Feb 2, 2018",Winchester,3500000.0,25091816.0,44378040.0,7.169090285714286,,12.67944
5513,,,,,96.0,"Dec 6, 2002",Empire,3500000.0,17504595.0,18495444.0,5.001312857142858,,5.284412571428572
5514,,,,,98.0,"Jan 19, 2018",Forever My Girl,3500000.0,16376066.0,16376066.0,4.678876,,4.678876
5515,,,,,99.0,"May 1, 1987",Creepshow 2,3500000.0,14000000.0,14000000.0,4.0,,4.0
5516,,,,,100.0,"Dec 14, 1967",In Cold Blood,3500000.0,13000000.0,13007551.0,3.7142857142857144,,3.716443142857143
5517,,,,,1.0,"Jul 18, 1959",The Nun's Story,3500000.0,12800000.0,12800000.0,3.657142857142857,,3.657142857142857
5518,,,,,2.0,"Jun 21, 1972",Frenzy,3500000.0,12600000.0,12600000.0,3.6,,3.6
5519,,,,,3.0,"Feb 23, 1966",Harper,3500000.0,12000000.0,12000000.0,3.4285714285714284,,3.4285714285714284
5520,,,,,4.0,"May 27, 1998",I Got the Hook-Up!,3500000.0,10317779.0,10317779.0,2.947936857142857,,2.947936857142857
5521,,,,,5.0,"Aug 23, 1996",She's the One,3500000.0,9482579.0,13795053.0,2.7093082857142856,,3.941443714285714
5522,,,,,6.0,"Jan 1, 1980",Terror Train,3500000.0,8000000.0,8000000.0,2.2857142857142856,,2.2857142857142856
5523,,,,,7.0,"Nov 6, 1998",Gods and Monsters,3500000.0,6451628.0,6451628.0,1.8433222857142857,,1.8433222857142857
5524,,,,,8.0,"Apr 16, 2010",El secreto de sus ojos,3500000.0,6391436.0,40527719.0,1.8261245714285714,,11.579348285714286
